| Sat Dec  9 15:34:58 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:27:47 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:27:51 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:29:35 2017 | 265004005    | Makin Eugen | 265004005 | /start 
| Sat Dec  9 16:29:42 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:29:43 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 16:29:47 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:30:14 2017 | 265004005    | Makin Eugen | 265004005 | /start 
| Sat Dec  9 16:30:16 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:30:26 2017 | 265004005    | Makin Eugen | 265004005 | Офисы Ингосстрах 🏦 
| Sat Dec  9 16:30:38 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:31:40 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:31:42 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:31:47 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 16:31:51 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:35:45 2017 | 265004005    | Makin Eugen | 265004005 | /start 
| Sat Dec  9 16:35:47 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:35:50 2017 | 265004005    | Makin Eugen | 265004005 | Офисы Ингосстрах 🏦 
| Sat Dec  9 16:35:56 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:36:15 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:36:18 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:36:19 2017 | 265004005    | Makin Eugen | 265004005 | Другие медицинские учреждения рядом 🚑 
| Sat Dec  9 16:36:31 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:37:02 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:37:05 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:37:07 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 16:37:12 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:41:44 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:41:47 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:41:51 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 16:43:26 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:43:28 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:43:30 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 16:43:35 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:43:39 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:44:35 2017 | 265004005    | Makin Eugen | 265004005 | Контакты ☎ 
| Sat Dec  9 16:44:37 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:44:38 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:44:40 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 16:44:47 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:45:02 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:45:08 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:45:09 2017 | 265004005    | Makin Eugen | 265004005 | Другие медицинские учреждения рядом 🚑 
| Sat Dec  9 16:45:20 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 16:56:58 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:57:00 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:57:04 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 16:58:37 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:59:19 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:59:19 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 16:59:27 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 16:59:33 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 16:59:35 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 16:59:39 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 17:02:46 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:02:54 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:02:55 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 17:03:01 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 17:03:22 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:03:26 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:03:30 2017 | 265004005    | Makin Eugen | 265004005 | Другие медицинские учреждения рядом 🚑 
| Sat Dec  9 17:03:38 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 17:14:12 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:14:14 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:14:15 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 17:15:59 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:16:01 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:16:03 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 17:16:08 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 17:16:17 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:16:20 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:16:22 2017 | 265004005    | Makin Eugen | 265004005 | Офисы Ингосстрах 🏦 
| Sat Dec  9 17:16:32 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 17:17:01 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:22:24 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 17:22:26 2017 | 265004005    | Makin Eugen | 265004005 | Now 
| Sat Dec  9 17:22:28 2017 | 265004005    | Makin Eugen | 265004005 | City 
| Sat Dec  9 17:22:38 2017 | 265004005    | Makin Eugen | 265004005 | Tuva 
| Sat Dec  9 17:22:53 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:23:02 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:23:05 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 17:23:15 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 17:23:19 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:23:22 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:23:23 2017 | 265004005    | Makin Eugen | 265004005 | Другие медицинские учреждения рядом 🚑 
| Sat Dec  9 17:23:31 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 17:23:42 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:23:43 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:23:45 2017 | 265004005    | Makin Eugen | 265004005 | Офисы Ингосстрах 🏦 
| Sat Dec  9 17:23:52 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 17:24:02 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:24:06 2017 | 265004005    | Makin Eugen | 265004005 | Обратная связь 📝 
| Sat Dec  9 17:24:13 2017 | 265004005    | Makin Eugen | 265004005 | Оставить свои пожелания по работе бота 
| Sat Dec  9 17:24:17 2017 | 265004005    | Makin Eugen | 265004005 | Fsa 
| Sat Dec  9 17:39:01 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:39:04 2017 | 265004005    | Makin Eugen | 265004005 | Обратная связь 📝 
| Sat Dec  9 17:39:09 2017 | 265004005    | Makin Eugen | 265004005 | Оставить свои пожелания по работе бота 
| Sat Dec  9 17:39:12 2017 | 265004005    | Makin Eugen | 265004005 | Etc 
| Sat Dec  9 17:39:49 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:39:51 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:39:52 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:39:56 2017 | 265004005    | Makin Eugen | 265004005 | Обратная связь 📝 
| Sat Dec  9 17:40:01 2017 | 265004005    | Makin Eugen | 265004005 | Оставить свои пожелания по работе чат-бота 
| Sat Dec  9 17:40:06 2017 | 265004005    | Makin Eugen | 265004005 | Норм 
| Sat Dec  9 17:40:09 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:44:50 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:46:34 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:46:36 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:46:47 2017 | 265004005    | Makin Eugen | 265004005 | Обратная связь 📝 
| Sat Dec  9 17:46:51 2017 | 265004005    | Makin Eugen | 265004005 | Оставить свои пожелания по работе чат-бота 
| Sat Dec  9 17:46:57 2017 | 265004005    | Makin Eugen | 265004005 | Ролироор 
| Sat Dec  9 17:46:59 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:47:03 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:47:10 2017 | 265004005    | Makin Eugen | 265004005 | Другие медицинские учреждения рядом 🚑 
| Sat Dec  9 17:47:17 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 17:47:32 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:47:40 2017 | 265004005    | Makin Eugen | 265004005 | Документы 📒 
| Sat Dec  9 17:47:52 2017 | 265004005    | Makin Eugen | 265004005 | Привет 
| Sat Dec  9 17:47:56 2017 | 265004005    | Makin Eugen | 265004005 | Привет 
| Sat Dec  9 17:48:01 2017 | 265004005    | Makin Eugen | 265004005 | Как дела? 
| Sat Dec  9 17:48:08 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:52:41 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 17:52:41 2017 | 265004005    | Makin Eugen | 265004005 | Обратная связь 📝 
| Sat Dec  9 17:52:51 2017 | 265004005    | Makin Eugen | 265004005 | Арата 
| Sat Dec  9 17:53:38 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 17:53:44 2017 | 265004005    | Makin Eugen | 265004005 | Что делать, если наступил страховой случай 🏥 
| Sat Dec  9 17:53:49 2017 | 265004005    | Makin Eugen | 265004005 | Обратная связь 📝 
| Sat Dec  9 17:53:52 2017 | 265004005    | Makin Eugen | 265004005 | Оставить свои пожелания по работе чат-бота 
| Sat Dec  9 17:53:54 2017 | 265004005    | Makin Eugen | 265004005 | Долго 
| Sat Dec  9 17:53:55 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:00:19 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:00:21 2017 | 265004005    | Makin Eugen | 265004005 | Now 
| Sat Dec  9 18:00:28 2017 | 265004005    | Makin Eugen | 265004005 | City 
| Sat Dec  9 18:00:37 2017 | 265004005    | Makin Eugen | 265004005 | Москва 
| Sat Dec  9 18:00:38 2017 | 265004005    | Makin Eugen | 265004005 | Москва 
| Sat Dec  9 18:00:44 2017 | 265004005    | Makin Eugen | 265004005 | Moscow 
| Sat Dec  9 18:01:04 2017 | 265004005    | Makin Eugen | 265004005 | City 
| Sat Dec  9 18:01:09 2017 | 265004005    | Makin Eugen | 265004005 | Moscow 
| Sat Dec  9 18:01:20 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:01:21 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:01:25 2017 | 265004005    | Makin Eugen | 265004005 | Later 
| Sat Dec  9 18:01:27 2017 | 265004005    | Makin Eugen | 265004005 | City 
| Sat Dec  9 18:01:32 2017 | 265004005    | Makin Eugen | 265004005 | Moscow 
| Sat Dec  9 18:01:32 2017 | 265004005    | Makin Eugen | 265004005 | Moscow 
| Sat Dec  9 18:02:05 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:02:09 2017 | 265004005    | Makin Eugen | 265004005 | Стикеры 🐦 
| Sat Dec  9 18:05:30 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:05:35 2017 | 265004005    | Makin Eugen | 265004005 | Стикеры 🐦 
| Sat Dec  9 18:05:58 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:06:01 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 18:06:05 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 18:06:13 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:06:15 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:06:18 2017 | 265004005    | Makin Eugen | 265004005 | Later 
| Sat Dec  9 18:06:19 2017 | 265004005    | Makin Eugen | 265004005 | City 
| Sat Dec  9 18:06:25 2017 | 265004005    | Makin Eugen | 265004005 | Moscow 
| Sat Dec  9 18:06:25 2017 | 265004005    | Makin Eugen | 265004005 | Moscow 
| Sat Dec  9 18:12:04 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:12:06 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:12:07 2017 | 265004005    | Makin Eugen | 265004005 | Now 
| Sat Dec  9 18:12:10 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 18:27:33 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:27:35 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:27:38 2017 | 265004005    | Makin Eugen | 265004005 | Now 
| Sat Dec  9 18:28:20 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:28:22 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:28:27 2017 | 265004005    | Makin Eugen | 265004005 | Later 
| Sat Dec  9 18:28:29 2017 | 265004005    | Makin Eugen | 265004005 | City 
| Sat Dec  9 18:28:32 2017 | 265004005    | Makin Eugen | 265004005 | Moscow 
| Sat Dec  9 18:31:07 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:31:09 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:31:11 2017 | 265004005    | Makin Eugen | 265004005 | Now 
| Sat Dec  9 18:31:13 2017 | 265004005    | Makin Eugen | 265004005 | City 
| Sat Dec  9 18:31:19 2017 | 265004005    | Makin Eugen | 265004005 | Moscow 
| Sat Dec  9 18:32:15 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:32:17 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:32:18 2017 | 265004005    | Makin Eugen | 265004005 | Now 
| Sat Dec  9 18:32:22 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 18:34:03 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:34:08 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:34:09 2017 | 265004005    | Makin Eugen | 265004005 | Now 
| Sat Dec  9 18:34:13 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 18:37:41 2017 | 244458170    | Мария Темнова | 244458170 | Главное меню 🏠 
| Sat Dec  9 18:37:44 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:37:47 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 18:37:56 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:37:57 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:39:33 2017 | 265004005    | Makin Eugen | 265004005 | Later 
| Sat Dec  9 18:39:40 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 18:41:25 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:41:27 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:41:28 2017 | 265004005    | Makin Eugen | 265004005 | Now 
| Sat Dec  9 18:41:31 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 18:53:34 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:53:36 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:54:49 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:54:57 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:54:58 2017 | 265004005    | Makin Eugen | 265004005 | Через три часа 
| Sat Dec  9 18:55:06 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 18:56:20 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:56:21 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 18:56:22 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 18:56:23 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 18:56:26 2017 | 265004005    | Makin Eugen | 265004005 | Через три часа 
| Sat Dec  9 18:56:30 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 19:13:32 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 19:13:33 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 19:13:34 2017 | 265004005    | Makin Eugen | 265004005 | Сейчас 
| Sat Dec  9 19:13:37 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 19:13:39 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 19:13:40 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 19:13:42 2017 | 265004005    | Makin Eugen | 265004005 | Завтра утром 
| Sat Dec  9 19:13:43 2017 | 265004005    | Makin Eugen | 265004005 | Указать город 
| Sat Dec  9 19:13:50 2017 | 265004005    | Makin Eugen | 265004005 | Moscow 
| Sat Dec  9 19:13:51 2017 | 265004005    | Makin Eugen | 265004005 | Moscow 
| Sat Dec  9 19:13:57 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 19:13:59 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 19:14:01 2017 | 265004005    | Makin Eugen | 265004005 | Клиники "Будь здоров" 🦋 
| Sat Dec  9 19:14:08 2017 | 265004005    | Makin Eugen | 265004005 | None 
| Sat Dec  9 19:14:14 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 19:14:43 2017 | 265004005    | Makin Eugen | 265004005 | Стикеры 🐦 
| Sat Dec  9 20:04:56 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 20:05:28 2017 | 265004005    | Makin Eugen | 265004005 | Наши организации на карте 🗺 
| Sat Dec  9 20:05:33 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 20:06:43 2017 | 265004005    | Makin Eugen | 265004005 | Контакты ☎ 
| Sat Dec  9 20:06:44 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 20:06:46 2017 | 265004005    | Makin Eugen | 265004005 | Стикеры 🐦 
| Sat Dec  9 20:07:35 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 20:07:36 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 20:07:38 2017 | 265004005    | Makin Eugen | 265004005 | Стикеры 🐦 
| Sat Dec  9 20:07:59 2017 | 265004005    | Makin Eugen | 265004005 | /start 
| Sat Dec  9 20:08:02 2017 | 265004005    | Makin Eugen | 265004005 | Стикеры 🐦 
| Sat Dec  9 20:18:32 2017 | 265004005    | Makin Eugen | 265004005 | /start 
| Sat Dec  9 20:21:38 2017 | 265004005    | Makin Eugen | 265004005 | Погода ☔ 
| Sat Dec  9 20:21:40 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
| Sat Dec  9 20:23:47 2017 | 265004005    | Makin Eugen | 265004005 | Контакты ☎ 
| Sat Dec  9 20:23:49 2017 | 265004005    | Makin Eugen | 265004005 | Главное меню 🏠 
